Nom de l'organisation,"Type (Association, Groupe informel, Entreprise ou Service public)",Type de lieu,Rue,Code postal,Ville,Code pays,Tag 1,Tag 2,Tag 3,Site web,Description courte,Description longue,Email,Fixe,Mobile,Contact : nom,Contact : email,Contact : téléphone,Contact : rôle,Latitude,Longitude,Lundi,Ouverture matin (ou journée continue) lundi,Fermeture matin lundi,Ouverture après-midi (sauf si une seule tranche horaire) lundi,Fermeture après-midi lundi,Mardi,Ouverture matin (ou journée continue) mardi,Fermeture matin mardi,Ouverture après-midi (sauf si une seule tranche horaire) mardi,Fermeture après-midi mardi,Mercredi,Ouverture matin (ou journée continue) mercredi,Fermeture matin mercredi,Ouverture après-midi (sauf si une seule tranche horaire) mercredi,Fermeture après-midi mercredi,Jeudi,Ouverture matin (ou journée continue) jeudi,Fermeture matin jeudi,Ouverture après-midi (sauf si une seule tranche horaire) jeudi,Fermeture après-midi jeudi,Vendredi,Ouverture matin (ou journée continue) vendredi,Fermeture matin vendredi,Ouverture après-midi (sauf si une seule tranche horaire) vendredi,Fermeture après-midi vendredi,Samedi,Ouverture matin (ou journée continue) samedi,Fermeture matin samedi,Ouverture après-midi (sauf si une seule tranche horaire) samedi,Fermeture après-midi samedi,Dimanche,Ouverture matin (ou journée continue) dimanche,Fermeture matin dimanche,Ouverture après-midi (sauf si une seule tranche horaire) dimanche,Fermeture après-midi dimanche,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13,Tag 14,Tag 15,Tag 16,Tag 17,Tag 18,Tag 19,Tag 20,Tag 21,Tag 22,Tag 23,Tag 24,Tag 25,Tag 26,Tag 27,Tag 28,Tag 29,Tag 30,Tag 31,Tag 32,Tag 33,Tag 34,Tag 35,Tag 36,Tag 37,Tag 38,Tag 39,Tag 40,Tag 41,Tag 42,Tag 43,Tag 44,Tag 45,Tag 46,Tag 47,Tag 48,Tag 49,Tag 50,Tag 51,null/0,null/1,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
Académie des savoirs Saint-Denis,Association,Organisme de formation,4 rue René Demarne (locaux de Microstor),97490,SAINTE CLOTILDE,RE,,,,www.ads-reunion.com,Académie des savoirs Saint-Denis,Académie des savoirs Saint-Denis,contact@ads-reunion.com,,,ABDELKRIM Chibab,contact@ads-reunion.com,+262 2 62 02 07 02,,,,Mo,08:30,16:30,,,Tu,08:30,16:30,,,We,08:30,16:30,,,Th,08:30,16:30,,,Fr,08:30,16:30,,,,,,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Jouer son rôle de parent,Découvrir l’univers des jeux vidéos,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,Connaître les outils du cloud,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,Utiliser et contribuer à Wikipedia,Utiliser outils cartographiques,Organiser et partager sa veille,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,,,Modélisation 3D,Utiliser imprimante 3D,Participer à des MOOCs,Découvrir la programmation,Déposer et gérer une annonce,Découvrir les métiers du numérique,,,,-20.902798,55.499529,4 Rue René Demarne 97490 Saint-Denis,0.5039168109668108,,housenumber,97411_1204_00004,4,4 Rue René Demarne,Rue René Demarne,97490,Saint-Denis,"974, La Réunion",97411,,,,ok
Académie des savoirs Saint-Pierre,Association,Organisme de formation,"27 avenue Jean-Marie Dambreville, Bâtiment Alpha Technopole",97410,SAINT PIERRE,RE,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,www.ads-reunion.com,Académie des savoirs Saint-Pierre,Académie des savoirs Saint-Pierre,contact@ads-reunion.com,,,ABDELKRIM Chibab,contact@ads-reunion.com,+262 2 62 02 07 02,,,,Mo,08:00,20:00,,,Tu,08:00,20:00,,,We,08:00,20:00,,,Th,08:00,20:00,,,Fr,08:00,20:00,,,Sa,08:00,16:00,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Jouer son rôle de parent,Découvrir l’univers des jeux vidéos,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,Connaître les outils du cloud,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Signer numériquement,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Effacer ses traces,Protéger ses données,Utiliser et contribuer à Wikipedia,Utiliser outils cartographiques,Organiser et partager sa veille,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Retoucher ses photos,Découvrir le montage vidéo,Faire des diaporamas,Publier des diaporamas en ligne,Utiliser une découpeuse numérique,Modélisation 3D,Utiliser imprimante 3D,Participer à des MOOCs,Découvrir la programmation,Déposer et gérer une annonce,Découvrir les métiers du numérique,,,,-21.340278,55.491915,Avenue du Dr Jean-Marie Dambreville 97410 Saint-Pierre,0.5725997560975609,0.5510815224534501,street,97416_3vcrr2,,Avenue du Dr Jean-Marie Dambreville,Avenue du Dr Jean-Marie Dambreville,97410,Saint-Pierre,"974, La Réunion",97416,,,,ok
ACCASE,Association,Espace Public Numérique autre,4 Impasse des Azurites LCR Dolomieu ,97400,SAINT DENIS,RE,,,,accase.re,ACCASE,ACCASE,projets@accase.re,,,AJORQUE Olivier,projets@accase.re,+262 2 62 51 82 49,,,,Mo,08:00,16:00,,,Tu,08:00,16:00,,,We,08:00,16:00,,,Th,08:00,16:00,,,Fr,08:00,16:00,,,,,,,,,,,,,Connaître les usages,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Connaître les outils du cloud,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Connaitre et gérer,Effacer ses traces,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Retoucher ses photos,Faire des diaporamas,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Utiliser un emplacement de co-working,Découvrir les métiers du numérique,,,,,,,,,,,,,,,,,,,,,-20.893593,55.450672,4 Allee des Azurites 97400 Saint-Denis,0.5677822807017543,0.5119609090909091,housenumber,97411_bbmjnj_00004,4,4 Allee des Azurites,Allee des Azurites,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
ADESIR Ass.développement Sociaux culturels pour la Réunion,Association,Espace Public Numérique autre,7 Chemin Arthur RIMBAUD Piton cailloux,97438,SAINTE MARIE,RE,,,,,ADESIR ,ADESIR Ass.développement Sociaux culturels pour la Réunion,adesir97438@adesir.fr,+262 2 62 97 25 02,,,adesir97438@adesir.fr,+262 2 62 97 25 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.939184,55.528985,7 Chemin Arthur Rimbaud 97438 Sainte-Marie,0.7296725974025974,0.5609922807017543,housenumber,97418_0113_00007,7,7 Chemin Arthur Rimbaud,Chemin Arthur Rimbaud,97438,Sainte-Marie,"974, La Réunion",97418,,,,ok
ADRIE,Association,Espace Public Numérique autre,21 rue des vavangues  ,97490,SAINTE CLOTILDE,RE,,,,https://www.adrie.fr,ADRIE,ADRIE,loricourt.adrie@gmail.com,+262 2 62 69 22 01  ,+262 6 92 64 48 37,LORICOURT Julie,loricourt.adrie@gmail.com,+262 6 92 64 48 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.897705,55.473347,21 Rue des Vavangues 97490 Saint-Denis,0.7006565217391303,0.4564622222222222,housenumber,97411_1432_00021,21,21 Rue des Vavangues,Rue des Vavangues,97490,Saint-Denis,"974, La Réunion",97411,,,,ok
ADRIE-SWITCH NUMERIK Espace Switch Numérik,Association,Espace Public Numérique autre,30  Rue des camélias Bât6,97400,SAINT DENIS,RE,,,,https://www.adrie.fr,ADRIE-SWITCH NUMERIK Espace Switch Numérik,ADRIE-SWITCH NUMERIK Espace Switch Numérik,axelnt@gmail.com,+262 2 62 51 79 93  ,+262 6 92 95 33 26,NAILLET Axel,axelnt@gmail.com,+262 6 92 95 33 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.896663,55.464018,30 Rue des Camelias 97400 Saint-Denis,0.8186110971786833,0.537270303030303,housenumber,97411_0256_00030,30,30 Rue des Camelias,Rue des Camelias,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
ADRIE-SWITCH NUMERIK Espace Switch Numérik,Association,Espace Public Numérique autre,41 Rue de la République ,97400,SAINT DENIS,RE,,,,https://www.adrie.fr,ADRIE-SWITCH NUMERIK Espace Switch Numérik,ADRIE-SWITCH NUMERIK Espace Switch Numérik,axelnt@gmail.com,+262 2 62 69 22 01 ,+262 6 92 95 33 26,NAILLET Axel,axelnt@gmail.com,+262 6 92 95 33 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.879576,55.446488,41 Rue de la Republique 97400 Saint-Denis,0.9780472727272727,,housenumber,97411_1180_00041,41,41 Rue de la Republique,Rue de la Republique,97400,Saint-Denis,"974, La Réunion",97411,,,,ok
ADSL,Association,Cyberbase/Cybercase,181 RUE VICTORIA,97440,SAINT ANDRE,RE,,,,,ADSL,ADSL,adulterelaisadsl@gmail.com,,,ALLAMELOU Marie-Nathalie,adulterelaisadsl@gmail.com,+262 2 63 04 70 71,,,,Mo,09:00,12:00,,,,,,,,,,,,,Th,09:00,12:00,,,,,,,,,,,,,,,,,,Connaître les usages,Etre parent à l’ère numérique,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser Internet,Naviguer sur le web,Gérer des documents numériques,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,Organiser et partager sa veille,Gérer ses emails,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.964097,55.654329,181 Rue Victoria 97440 Saint-André,0.9683081818181818,,housenumber,97409_1911_00181,181,181 Rue Victoria,Rue Victoria,97440,Saint-André,"974, La Réunion",97409,,,,ok
AGAME,Association,Organisme de formation,198 cd 41,97419,LA POSSESSION,RE,,,,www.agame.re,AGAME,AGAME,bruno@agame.re,,,PICHON Bruno,bruno@agame.re,+262 2 62 18 98 98,,,,Mo,08:30,12:00,13:00,16:30,Tu,08:30,12:00,13:00,16:30,We,08:30,12:00,13:00,16:30,Th,08:30,12:00,13:00,16:30,Fr,08:30,12:00,13:00,16:30,,,,,,,,,,,Connaître les usages,Découvrir les réseaux sociaux,Utiliser les réseaux sociaux,Etre parent à l’ère numérique,,,Communiquer et échanger sur Internet,Paramétrer un compte email,Utiliser un client de messagerie,Utiliser un client WebMail,Connaître les outils du cloud,Comprendre les cultures numériques,Utiliser Internet,Naviguer sur le web,Utiliser les réseaux sociaux,Gérer des documents numériques,,S’approprier un équipement numérique,Classer et partager ses photos,Gérer ses données,Utiliser un équipement numérique,Accéder aux principaux services en ligne,Gérer des documents numériques,Se renseigner et connaître ses droits,Connaitre et gérer,,,Utiliser et contribuer à Wikipedia,Utiliser outils cartographiques,,Connaître alternatives à Facebook,Connaître alternatives à Google Drive,Connaître solutions outils bureautiques,Surfer librement sur internet,Sécuriser ses usages numériques,Gérer ses emails,Retoucher ses photos,Découvrir le montage vidéo,Faire des diaporamas,Publier des diaporamas en ligne,Participer à des MOOCs,Déposer et gérer une annonce,Réaliser et Diffuser son CV,Organiser sa recherche d’emploi,Découvrir et utiliser l’emploi Store,Découvrir les métiers du numérique,,,,,-20.936589,55.33616,L'Avenir 97419 La Possession,0.5252979797979798,0.42947938104448735,street,97408_ot6z83,,L'Avenir,L'Avenir,97419,La Possession,"974, La Réunion",97408,,,,ok
AGAME Le Réemploi Solidaire,Association,Espace Public Numérique autre,49, Boulevard de Verdun,97420,LE PORT,RE,,,,https://www.agame.re,AGAME Le Réemploi Solidaire,AGAME Le Réemploi Solidaire,info@agame.re,+262 2 62 18 98 98,,PICHON Bruno,info@agame.re,+262 2 62 18 98 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.942392,55.292404,49 Boulevard de Verdun 97420 Le Port,0.9692972727272727,,housenumber,97407_0460_00049,49,49 Boulevard de Verdun,Boulevard de Verdun,97420,Le Port,"974, La Réunion",97407,,,,ok
